Num Training Releases,% Training,% Defective In Training,% Defective In Testing,Classifier,Balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,ROC Area,Kappa
25,0.897419582891481,0.036316369938553646,0.021364576154376293,IB1 instance-based classifier,None,None,4,48,1372,27,0.07692307692307693,0.12903225806451613,0.53594956837801,0.07153034323302872
26,0.9118158963450009,0.034782608695652174,0.021929824561403508,IB1 instance-based classifier,None,None,3,38,1300,27,0.07317073170731707,0.1,0.5949551569506727,0.06071745468373671
27,0.9795415798446675,0.03364919744730226,0.006172839506172839,IB1 instance-based classifier,None,None,1,18,304,1,0.05263157894736842,0.5,0.7414596273291926,0.0850178359096303
28,0.9210235533585345,0.033087074572204334,0.0390279823269514,IB1 instance-based classifier,None,None,6,34,1271,47,0.15,0.11320754716981132,0.5686763536470758,0.09877595162796732
29,0.9234197948552709,0.033556266356498984,0.016129032258064516,IB1 instance-based classifier,None,None,1,36,1367,22,0.02702702702702703,0.043478260869565216,0.5689051411571477,0.01371365880416844
30,0.9671237145528202,0.03222168519413565,0.14533965244865718,IB1 instance-based classifier,None,None,3,9,532,89,0.25,0.03260869565217391,0.5421622599051675,0.024990569596378763
31,0.9591033623910337,0.03594058377480004,0.0048721071863581,IB1 instance-based classifier,None,None,1,37,780,3,0.02631578947368421,0.25,0.6156670746634026,0.03914798993504664
32,0.993221848406887,0.03466998754669987,0.014598540145985401,IB1 instance-based classifier,None,None,0,6,129,2,0.0,0.0,0.6037037037037037,-0.022388059701492276
33,0.9912216173802167,0.034533940233524636,0.0223463687150838,IB1 instance-based classifier,None,None,1,10,165,3,0.09090909090909091,0.25,0.6007142857142858,0.1039661147477857
34,0.9971636754853538,0.03442695306752979,0.3103448275862069,IB1 instance-based classifier,None,None,0,0,40,18,NaN,0.0,0.5104166666666666,0.0
