Num Training Releases,% Training,% Defective In Training,% Defective In Testing,Classifier,Balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,ROC Area,Kappa
16,0.9214743589743589,0.06434782608695652,0.10204081632653061,RandomForest,Undersampling,Yes,4,22,22,1,0.15384615384615385,0.8,0.5477272727272727,0.10484511517077051
18,0.8987161198288159,0.06666666666666667,0.09859154929577464,RandomForest,Undersampling,Yes,4,10,54,3,0.2857142857142857,0.5714285714285714,0.8370535714285714,0.28725868725868736
19,0.9901129943502824,0.06990014265335236,0.5714285714285714,RandomForest,Undersampling,Yes,3,1,2,1,0.75,0.75,0.75,0.4166666666666667
20,0.9779005524861878,0.0748587570621469,0.1875,RandomForest,Undersampling,Yes,3,11,2,0,0.21428571428571427,1.0,0.5769230769230769,0.06382978723404255
3,0.270042194092827,0.015625,0.09248554913294797,NaiveBayes,Undersampling,Yes,0,26,131,16,0.0,0.0,0.4094347133757962,-0.12931302455704077
4,0.915057915057915,0.07172995780590717,0.13636363636363635,NaiveBayes,Undersampling,Yes,3,6,13,0,0.3333333333333333,1.0,0.7192982456140351,0.3714285714285715
5,0.9847908745247148,0.07722007722007722,0.25,NaiveBayes,Undersampling,Yes,1,0,3,0,1.0,1.0,1.0,1.0
6,0.8945578231292517,0.07984790874524715,0.03225806451612903,NaiveBayes,Undersampling,Yes,1,3,27,0,0.25,1.0,1.0,0.3673469387755102
9,0.84251968503937,0.06853582554517133,0.016666666666666666,NaiveBayes,Undersampling,Yes,1,14,45,0,0.06666666666666667,1.0,0.9322033898305084,0.09677419354838719
10,0.8485523385300668,0.06036745406824147,0.16176470588235295,NaiveBayes,Undersampling,Yes,0,1,56,11,0.0,0.0,0.8421052631578947,-0.02770780856423167
11,0.8944223107569721,0.0757238307349666,0.03773584905660377,NaiveBayes,Undersampling,Yes,0,7,44,2,0.0,0.0,0.4950980392156863,-0.06236080178173717
12,0.8730434782608696,0.07171314741035857,0.0136986301369863,NaiveBayes,Undersampling,Yes,0,8,64,1,0.0,0.0,0.6875,-0.024960998439937963
13,0.8730434782608696,0.07171314741035857,0.0136986301369863,NaiveBayes,Undersampling,Yes,0,8,64,1,0.0,0.0,0.6875,-0.024960998439937963
14,0.8730434782608696,0.07171314741035857,0.0136986301369863,NaiveBayes,Undersampling,Yes,0,8,64,1,0.0,0.0,0.6875,-0.024960998439937963
15,0.9214743589743589,0.06434782608695652,0.10204081632653061,NaiveBayes,Undersampling,Yes,0,5,39,5,0.0,0.0,0.5181818181818182,-0.11363636363636385
16,0.9214743589743589,0.06434782608695652,0.10204081632653061,NaiveBayes,Undersampling,Yes,0,5,39,5,0.0,0.0,0.5181818181818182,-0.11363636363636385
