@RELATION finalTableAVRO

@ATTRIBUTE releaseindex REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE locthouched REAL
@ATTRIBUTE locadded REAL
@ATTRIBUTE maxlocadded REAL
@ATTRIBUTE averagelocadded REAL
@ATTRIBUTE numrevisions REAL
@ATTRIBUTE numauthors REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE averagechurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE averagechgsetsize REAL
@ATTRIBUTE buggy {No,Yes}

@DATA
7,234,138,34,33,17.0,2,1,-1,0,-0.5,28,19,14.0,No
7,133,2,0,0,0.0,1,1,-1,0,-1.0,29,29,29.0,No
7,5,8,2,2,2.0,1,1,0,0,0.0,19,19,19.0,No
7,312,152,39,37,19.5,2,1,2,1,1.0,34,20,17.0,No
7,27,80,40,37,20.0,2,1,40,37,20.0,33,19,16.5,No
7,65,210,2,2,1.0,2,1,-101,0,-50.5,48,29,24.0,No
7,866,2306,1152,1124,576.0,2,1,1151,1124,575.5,42,29,21.0,Yes
7,157,4,1,1,1.0,1,1,0,0,0.0,19,19,19.0,No
7,24,68,34,34,34.0,1,1,34,34,34.0,14,14,14.0,No
7,55,166,1,1,0.5,2,1,-81,0,-40.5,48,29,24.0,No
7,253,38,10,9,5.0,2,1,1,1,0.5,34,20,17.0,No
7,437,96,17,17,8.5,2,1,-14,0,-7.0,48,29,24.0,No
7,268,34,11,7,5.5,2,1,5,4,2.5,34,20,17.0,No
7,84,12,5,5,5.0,1,1,4,4,4.0,9,9,9.0,No
7,423,50,13,13,13.0,1,1,1,1,1.0,14,14,14.0,No
7,187,118,49,47,24.5,2,1,39,37,19.5,39,20,19.5,No
7,43,140,70,70,70.0,1,1,70,70,70.0,14,14,14.0,No
7,644,240,70,38,35.0,2,1,20,18,10.0,48,29,24.0,No
7,150,198,82,81,41.0,2,1,65,65,32.5,39,20,19.5,No
7,224,48,7,7,7.0,1,1,-10,0,-10.0,19,19,19.0,No
7,142,72,24,24,24.0,1,1,12,12,12.0,19,19,19.0,No
7,54,158,79,79,79.0,1,1,79,79,79.0,20,20,20.0,No
7,982,316,83,45,20.75,4,2,8,4,2.0,55,20,13.75,No
7,155,18,2,2,2.0,1,1,-5,0,-5.0,19,19,19.0,No
8,606,462,109,109,109.0,1,1,-13,0,-13.0,37,37,37.0,No
8,179,506,0,0,0.0,1,1,-253,0,-253.0,37,37,37.0,No
8,371,18,4,4,4.0,1,1,-1,0,-1.0,37,37,37.0,No
8,39,124,0,0,0.0,1,1,-62,0,-62.0,37,37,37.0,No
8,264,36,3,3,3.0,1,1,-12,0,-12.0,37,37,37.0,No
8,113,58,10,10,10.0,1,1,-9,0,-9.0,37,37,37.0,No
8,227,46,16,16,16.0,1,1,9,9,9.0,37,37,37.0,No
8,30,60,30,30,30.0,1,1,30,30,30.0,18,18,18.0,No
8,5,8,2,2,2.0,1,1,0,0,0.0,37,37,37.0,No
8,311,152,37,37,37.0,1,1,-2,0,-2.0,37,37,37.0,No
