@RELATION finalTableFALCON

@ATTRIBUTE releaseindex REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE locthouched REAL
@ATTRIBUTE locadded REAL
@ATTRIBUTE maxlocadded REAL
@ATTRIBUTE averagelocadded REAL
@ATTRIBUTE numrevisions REAL
@ATTRIBUTE numauthors REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE averagechurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE averagechgsetsize REAL
@ATTRIBUTE buggy {No,Yes}

@DATA
3,70,174,87,87,87.0,1,1,87,87,87.0,292,292,292.0,No
3,74,12,3,3,3.0,1,1,0,0,0.0,133,133,133.0,No
3,311,826,393,336,56.142857142857146,7,3,373,336,53.285714285714285,222,81,31.714285714285715,No
3,123,4,1,1,1.0,1,1,0,0,0.0,22,22,22.0,No
3,65,166,83,83,83.0,1,1,83,83,83.0,18,18,18.0,No
3,65,328,82,81,27.333333333333332,3,1,0,81,0.0,29,12,9.666666666666666,No
3,22,58,29,28,14.5,2,1,29,28,14.5,329,292,164.5,No
3,15,108,27,27,13.5,2,1,0,27,0.0,364,292,182.0,No
3,265,800,357,306,89.25,4,2,314,306,78.5,159,81,39.75,No
3,170,28,14,7,7.0,2,2,14,7,7.0,36,25,18.0,No
3,230,994,387,311,64.5,6,2,277,311,46.166666666666664,457,292,76.16666666666667,No
3,564,1474,679,616,169.75,4,2,621,616,155.25,425,292,106.25,No
3,224,814,344,303,114.66666666666667,3,2,281,303,93.66666666666667,411,292,137.0,No
3,838,1588,537,93,38.357142857142854,14,3,280,74,20.0,313,133,22.357142857142858,Yes
3,256,928,371,322,61.833333333333336,6,3,278,322,46.333333333333336,467,292,77.83333333333333,Yes
3,30,76,38,38,38.0,1,1,38,38,38.0,72,72,72.0,No
3,282,948,397,361,132.33333333333334,3,2,320,361,106.66666666666667,411,292,137.0,No
3,37,90,45,44,22.5,2,1,45,44,22.5,329,292,164.5,No
