@RELATION finalTableSYNCOPE

@ATTRIBUTE releaseindex REAL
@ATTRIBUTE loc REAL
@ATTRIBUTE locthouched REAL
@ATTRIBUTE locadded REAL
@ATTRIBUTE maxlocadded REAL
@ATTRIBUTE averagelocadded REAL
@ATTRIBUTE numrevisions REAL
@ATTRIBUTE numauthors REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE averagechurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE averagechgsetsize REAL
@ATTRIBUTE buggy {No,Yes}

@DATA
16,141,234,73,47,14.6,5,2,29,39,5.8,407,218,81.4,No
16,126,20,5,2,1.6666666666666667,3,1,0,0,0.0,249,218,83.0,No
16,97,26,6,6,6.0,1,1,-1,0,-1.0,58,58,58.0,No
16,85,34,9,6,3.0,3,1,1,1,0.3333333333333333,250,218,83.33333333333333,No
16,517,58,29,29,29.0,1,1,29,29,29.0,3,3,3.0,No
16,149,10,2,1,0.6666666666666666,3,2,-1,0,-0.3333333333333333,70,42,23.333333333333332,No
16,22,60,30,30,30.0,1,1,30,30,30.0,42,42,42.0,No
16,197,20,5,5,5.0,1,1,0,0,0.0,22,22,22.0,No
16,119,32,4,3,2.0,2,1,-8,0,-4.0,240,218,120.0,No
16,47,110,28,28,28.0,1,1,1,1,1.0,39,39,39.0,No
16,134,2,1,1,1.0,1,1,1,1,1.0,218,218,218.0,No
16,124,32,6,6,6.0,1,1,-4,0,-4.0,58,58,58.0,No
16,139,138,25,25,25.0,1,1,-19,0,-19.0,42,42,42.0,No
